Flags,Utterance,Category,Intent
B,I Want To Know More About A Shipping Address Change,Shipping_Address,Change_Shipping_Address
BI,How Can I Find Information About A Shipping Address Change?,Shipping_Address,Change_Shipping_Address
B,I Need Information About A Shipping Address Change,Shipping_Address,Change_Shipping_Address
B,I Chose A Wrong Shipping Address By Mistake,Shipping_Address,Change_Shipping_Address
B,I Want Assistance Changing My Shipping Address,Shipping_Address,Change_Shipping_Address
B,I Have An Issue Changing The Shipping Address,Shipping_Address,Change_Shipping_Address
BLM,I Don'T Know What I Need To Do To Check The Early Exit Fees,Cancellation_Fee,Check_Cancellation_Fee
BL,Assistance To Check The Early Termination Penalty,Cancellation_Fee,Check_Cancellation_Fee
BCEILMQ,I Cannot Find The Early Exit Penalties Can Uhelp Me,Cancellation_Fee,Check_Cancellation_Fee
BLQZ,I Want Assistance Checking The Early Exit Fee,Cancellation_Fee,Check_Cancellation_Fee
B,I Need Assistance To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BE,I Cannot Find The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
B,Help Me To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLQZ,Want Help To See The Cancellation Penaltyh,Cancellation_Fee,Check_Cancellation_Fee
BLMQ,Need Help Seeing The Withdrawal Penalties,Cancellation_Fee,Check_Cancellation_Fee
BLMQZ,I Want Assistance Checking The Early Termination Feees,Cancellation_Fee,Check_Cancellation_Fee
BCILMQZ,I Have To See Te Early Exit Fees Can I Get Some Help,Cancellation_Fee,Check_Cancellation_Fee
BLZ,Help Checkingf The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
BEM,I Cannot Find The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BMP,I Would Like To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BM,Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BILQ,How To See The Withdrawal Charge,Cancellation_Fee,Check_Cancellation_Fee
BLM,Assistance To Check The Early Termination Fees,Cancellation_Fee,Check_Cancellation_Fee
BI,What Do I Need To Do To Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BM,Help Checking The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BIMP,Where Could I Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BLQ,Wanna Check The Termination Fee,Cancellation_Fee,Check_Cancellation_Fee
BLMW,I Want Assistance Checking The Goddamn Early Exit Penalties,Cancellation_Fee,Check_Cancellation_Fee
B,I Don'T Know How I Can Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLM,See The Early Termination Fees,Cancellation_Fee,Check_Cancellation_Fee
BILM,Where Can I See The Termination Fees?,Cancellation_Fee,Check_Cancellation_Fee
BM,I Don'T Know What To Do To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
B,I Want To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BM,I Can'T Find The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BI,Where Can I Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BI,How Much Will You Charge Me If I Break The Contract?,Cancellation_Fee,Check_Cancellation_Fee
BP,I Would Like To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLMZ,Check The Early Exit Penaltie,Cancellation_Fee,Check_Cancellation_Fee
BCILQZ,I Have To Check The Early Termination Fee Can Uhelp Me,Cancellation_Fee,Check_Cancellation_Fee
BILMQ,Can Uhelp Me See The Withdrawal Charges,Cancellation_Fee,Check_Cancellation_Fee
BEP,I Do Not Know How I Could Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BELQZ,I Do Not Know How I Can See The Early Exit Penalty,Cancellation_Fee,Check_Cancellation_Fee
BIP,Could You Help Me Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Want Help To See The Early Exit Charges,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Don'T Know What To Do To See The Withdrawal Fees,Cancellation_Fee,Check_Cancellation_Fee
B,I Don'T Know How To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BIMP,Would It Be Possible To Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BILZ,Can You Help Me Checking The Termination Charge ?,Cancellation_Fee,Check_Cancellation_Fee
BK,Check Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLM,Help Checking The Withdrawal Charges,Cancellation_Fee,Check_Cancellation_Fee
BIM,Where Can I Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BLQ,I Need Help To See The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
BLQZ,Need To Check The Cancellation Charge,Cancellation_Fee,Check_Cancellation_Fee
BIM,How To Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BLMW,I Am Trying To See The Goddamn Early Termination Charges,Cancellation_Fee,Check_Cancellation_Fee
BI,Where Do I Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BIM,What Are The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BIL,Can You Show Me The Termination Penalty?,Cancellation_Fee,Check_Cancellation_Fee
BILQZ,Can Uhelp Me Checkimg The Early Exit Penalty,Cancellation_Fee,Check_Cancellation_Fee
BILQW,Where To Check The Goddamn Withdrawal Charge,Cancellation_Fee,Check_Cancellation_Fee
BIQ,Can Uhelp Me Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
B,I Try To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BILMQ,Where To Check The Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BL,I Want To Check The Early Exit Fee,Cancellation_Fee,Check_Cancellation_Fee
BI,What Is The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BIMP,How Could I Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BM,I Want Help To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BIM,How Do I Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BEMP,I Do Not Know How I Could Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BILMQ,Can Uhelp Me Seeing The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Don'T Know How To Check The Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BM,I Need To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BL,I Have Got To See The Termination Charge,Cancellation_Fee,Check_Cancellation_Fee
BLQ,I'M Trying To Check The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
B,I Don'T Know What To Do To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BI,How Do I Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BE,I Do Not Know How To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Need Assistance To Check The Early Termination Charges,Cancellation_Fee,Check_Cancellation_Fee
B,I Want Help Checking The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLMQ,Need Assistance Seeing The Termination Charges,Cancellation_Fee,Check_Cancellation_Fee
BILQ,What Do I Have To Do To Check The Withdrawal Charge,Cancellation_Fee,Check_Cancellation_Fee
BCELMQ,I Cannot Find The Termination Penalties I Need Help,Cancellation_Fee,Check_Cancellation_Fee
BIP,Could You Help Me To Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
B,I Want Assistance Checking The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLM,Help To See The Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BIM,Can You Help Me Checking The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Need Help To Check The Cancellation Penalties,Cancellation_Fee,Check_Cancellation_Fee
BIL,Is It Possible To See The Withdrawal Penalty?,Cancellation_Fee,Check_Cancellation_Fee
B,I Want Help To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLM,Show Me The Termination Fees,Cancellation_Fee,Check_Cancellation_Fee
BIM,Is It Possible To Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BCILMQ,I Have Got To Check The Withdrawal Fees Can Uhelp Me,Cancellation_Fee,Check_Cancellation_Fee
BI,Can You Help Me To Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Need Help To Check The Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Need Help Checking The Cancellation Charges,Cancellation_Fee,Check_Cancellation_Fee
BILM,Where Do I See The Withdrawal Charges?,Cancellation_Fee,Check_Cancellation_Fee
BM,I Have To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BLMQ,I Have Got To See The Cancellation Charges,Cancellation_Fee,Check_Cancellation_Fee
BM,I Want To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BM,I Don'T Know How To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BMP,I Don'T Know How I Could Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BILMQ,Can Uhelp Me See The Early Termination Charges,Cancellation_Fee,Check_Cancellation_Fee
BILMZ,Is It Possible To Check The Early Termimation Penalties?,Cancellation_Fee,Check_Cancellation_Fee
BIL,Can You Help Me To See The Early Termination Charge?,Cancellation_Fee,Check_Cancellation_Fee
BLMQZ,I Want Assistance Checking The Withdrawal Fees,Cancellation_Fee,Check_Cancellation_Fee
BIM,What Do I Have To Do To Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BELMQ,I Do Not Know How To See The Early Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
B,I Need Help To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BL,Show Me The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
BLQ,Need Assistance Checking The Early Termination Charge,Cancellation_Fee,Check_Cancellation_Fee
B,I Can'T Find The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BL,I Don'T Know What To Do To Check The Withdrawal Penalty,Cancellation_Fee,Check_Cancellation_Fee
BI,Is It Possible To Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BLQ,Want Help Seeing The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
BIP,Could You Show Me The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Don'T Know How I Can Check The Withdrawal Penalties,Cancellation_Fee,Check_Cancellation_Fee
BCEIQ,I Cannot Find The Cancellation Fee What Can I Do,Cancellation_Fee,Check_Cancellation_Fee
BLQ,Want Help Seeing The Withdrawal Fee,Cancellation_Fee,Check_Cancellation_Fee
BILZ,How Can I Check The Termniation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BELMQ,I Do Not Know What To Do To Check The Withdrawal Charges,Cancellation_Fee,Check_Cancellation_Fee
BELMQZ,I Do Not Know Hwat To Do To See The Withdrawal Charges,Cancellation_Fee,Check_Cancellation_Fee
BCELZ,"I Cannott Find The Early Exit Penalty, I Need Assistance",Cancellation_Fee,Check_Cancellation_Fee
BLZ,I Try To Check The Eazrly Termination Penalty,Cancellation_Fee,Check_Cancellation_Fee
BCILQZ,Need To Check The Cancllation Penalty How Do I Do It,Cancellation_Fee,Check_Cancellation_Fee
BIMP,Could You Help Me Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BLMQ,I Dont Know How I Can Check The Withdrawal Penalties,Cancellation_Fee,Check_Cancellation_Fee
BL,Seeing Early Termination Charge,Cancellation_Fee,Check_Cancellation_Fee
BELM,I Cannot Find The Early Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
B,Assistance Checking The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Need Assistance To See The Cancellation Penalties,Cancellation_Fee,Check_Cancellation_Fee
BEM,I Do Not Know How I Can Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Try To See The Early Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BM,I Need Assistance To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BLM,See The Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BM,I Am Trying To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BCEILM,"I Cannot Find The Early Termination Fees, Can You Help Me?",Cancellation_Fee,Check_Cancellation_Fee
BILM,Can You Help Me Checking The Termination Penalties?,Cancellation_Fee,Check_Cancellation_Fee
BCELMZ,"I Cannot Find The Termination Charges, I Needhelp",Cancellation_Fee,Check_Cancellation_Fee
BM,Show Me The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BIMP,Could You Help Me To Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BLMW,Help Me See The Bloody Cancellation Charges,Cancellation_Fee,Check_Cancellation_Fee
BIL,Can You Help Me See The Withdrawal Fee?,Cancellation_Fee,Check_Cancellation_Fee
BCIQ,I Have Got To Check The Cancellation Fee How Can I Do It,Cancellation_Fee,Check_Cancellation_Fee
BLMQW,I Want Help Checking The Damn Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BM,I Want Assistance Checking The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BM,Help Me Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BM,Help Me Checking The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
B,I Want Assistance To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BL,I Need Help To See The Early Termination Charge,Cancellation_Fee,Check_Cancellation_Fee
BIM,Can You Help Me Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Want Help Seeing The Withdrawal Fees,Cancellation_Fee,Check_Cancellation_Fee
BM,I Need Assistance Checking The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BCELMQWZ,I Cannot Find The Goddamn Earpy Exit Charges I Need Help,Cancellation_Fee,Check_Cancellation_Fee
BM,I Don'T Know How I Can Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Can'T Find The Termination Charges,Cancellation_Fee,Check_Cancellation_Fee
BELQ,I Do Not Know How I Can See The Cancellation Charge,Cancellation_Fee,Check_Cancellation_Fee
BI,How Can I Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BI,What Is The Charge For Breaking The Contract?,Cancellation_Fee,Check_Cancellation_Fee
BI,How Much Would You Charge Me For Breaking The Contract?,Cancellation_Fee,Check_Cancellation_Fee
BLM,Help To See The Termination Fees,Cancellation_Fee,Check_Cancellation_Fee
B,Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BM,I Have Got To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
B,Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BI,How To Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BL,I Don'T Know What To Do To Check The Withdrawal Charge,Cancellation_Fee,Check_Cancellation_Fee
BIM,Where To Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BM,Assistance To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BM,I Try To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
B,I Need Assistance Checking The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BM,Help To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
B,I Need Help Checking The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BMQ,Need Help Checking The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BILM,What Do I Need To Do To Check The Early Termination Charges?,Cancellation_Fee,Check_Cancellation_Fee
BILMQ,What Do I Have To Do To Check The Withdrawal Penalties,Cancellation_Fee,Check_Cancellation_Fee
BILQZ,Where Can I Chck The Withdrawal Fee,Cancellation_Fee,Check_Cancellation_Fee
B,Help To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Try To Check The Early Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
B,Help Checking The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BL,I Have To Check The Early Termination Charge,Cancellation_Fee,Check_Cancellation_Fee
BIP,Where Could I Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BIM,How Can I Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BILM,Can I See The Termination Charges?,Cancellation_Fee,Check_Cancellation_Fee
BL,I Want Assistance Checking The Termination Fee,Cancellation_Fee,Check_Cancellation_Fee
BILMQ,Is It Possible To Check The Termination Fees,Cancellation_Fee,Check_Cancellation_Fee
BM,Help Me To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BLM,Assistance To See The Cancellation Penalties,Cancellation_Fee,Check_Cancellation_Fee
BILM,How To Check The Withdrawal Charges?,Cancellation_Fee,Check_Cancellation_Fee
BIMP,Could You Show Me The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BLQ,Want Assistance Seeing The Withdrawal Fee,Cancellation_Fee,Check_Cancellation_Fee
BIP,Could You Help Me Checking The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BIM,What Do I Need To Do To Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BM,I Want Assistance To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BIM,Can You Help Me To Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BIP,Could I Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BLQ,Want Assistance Seeing The Early Termination Fee,Cancellation_Fee,Check_Cancellation_Fee
BILQ,How Do I See The Termination Penalty,Cancellation_Fee,Check_Cancellation_Fee
BLQ,Want Assistance To Check The Cancellation Charge,Cancellation_Fee,Check_Cancellation_Fee
BILMQ,Where Do I Check The Early Exit Penalties,Cancellation_Fee,Check_Cancellation_Fee
BM,I Want Help Checking The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
B,Help Me Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BM,Assistance Checking The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BEM,I Do Not Know How To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Need Assistance Seeing The Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BLQZ,Wanna Check The Cancellationcharge,Cancellation_Fee,Check_Cancellation_Fee
BL,I Don'T Know What To Do To See The Early Exit Charge,Cancellation_Fee,Check_Cancellation_Fee
BCILMQ,I Have To Check The Termination Fees How To Do It,Cancellation_Fee,Check_Cancellation_Fee
BLW,I Need Assistance Seeing The Fucking Early Exit Fee,Cancellation_Fee,Check_Cancellation_Fee
B,Show Me The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLMZ,I Try To See Ther Cancellation Penalties,Cancellation_Fee,Check_Cancellation_Fee
BI,Where To Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BL,I Want Assistance To Check The Early Termination Fee,Cancellation_Fee,Check_Cancellation_Fee
BILM,How Can I See The Early Termination Penalties?,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Don'T Know What I Have To Do To See The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BL,I Need Help To See The Early Exit Penalty,Cancellation_Fee,Check_Cancellation_Fee
BLQ,I Want Help Checking The Termination Fee,Cancellation_Fee,Check_Cancellation_Fee
BIM,Where Do I Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BELQW,I Do Not Know How To See The Fucking Withdrawal Penalty,Cancellation_Fee,Check_Cancellation_Fee
BLQ,Want Help To Check The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
BIP,How Could I Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BIP,Will You Show Me The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BLMQ,I Want Assistance Seeing The Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BLMQ,Want Help Seeing The Termination Charges,Cancellation_Fee,Check_Cancellation_Fee
BQZ,I Have Got To Check The Czncellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BI,How Much Does It Cost To Break The Contract?,Cancellation_Fee,Check_Cancellation_Fee
BIM,Can I Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BL,I Want Assistance To Check The Withdrawal Fee,Cancellation_Fee,Check_Cancellation_Fee
BIM,Are There Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BILM,What Are The Fees For Breaking The Contract?,Cancellation_Fee,Check_Cancellation_Fee
BM,Checking Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BL,I Want Assistance To See The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
BIMP,Could You Help Me Checking The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BLZ,I Don'T Know What To Do To Check The Withdrawal Penalty,Cancellation_Fee,Check_Cancellation_Fee
B,I Am Trying To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BIMP,Could I Check The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BELQ,I Do Not Know How I Can Check The Withdrawal Charge,Cancellation_Fee,Check_Cancellation_Fee
BL,I Have Got To See The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
BL,I Am Trying To Check The Early Exit Charge,Cancellation_Fee,Check_Cancellation_Fee
BLMQ,Want Assistance Seeing The Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BI,How Much Would You Charge Me If I Broke The Contract?,Cancellation_Fee,Check_Cancellation_Fee
BI,How Much Will You Charge Me For Breaking The Contract?,Cancellation_Fee,Check_Cancellation_Fee
BILZ,Where To Cjeck The Early Exit Fee?,Cancellation_Fee,Check_Cancellation_Fee
BM,I Need Help Checking The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BILQ,How Do I See The Cancellation Charge,Cancellation_Fee,Check_Cancellation_Fee
BEM,I Do Not Know What To Do To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BM,Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
BILMQ,What Do I Need To Do To Check The Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BI,Can You Help Me Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BIM,Can You Show Me The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BL,Assistance Seeing The Termination Penalty,Cancellation_Fee,Check_Cancellation_Fee
BP,I Don'T Know How I Could Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BEL,I Do Not Know How I Can See The Withdrawal Fee,Cancellation_Fee,Check_Cancellation_Fee
BLM,Help Seeing The Cancellation Penalties,Cancellation_Fee,Check_Cancellation_Fee
BILQ,Where Can I Check The Termination Fee,Cancellation_Fee,Check_Cancellation_Fee
BLMQ,Need Assistance To Check The Early Exit Fees,Cancellation_Fee,Check_Cancellation_Fee
BCEILZ,"I Cannot Find The Termination Charge, Can I Get Some Help ?",Cancellation_Fee,Check_Cancellation_Fee
BLM,I Want To Check The Early Termination Fees,Cancellation_Fee,Check_Cancellation_Fee
BI,Can You Show Me The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BL,Help Me To See The Termination Charge,Cancellation_Fee,Check_Cancellation_Fee
BILQ,Is It Possible To See The Early Termination Penalty,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Can'T Find The Early Exit Penalties,Cancellation_Fee,Check_Cancellation_Fee
BM,I Need Help To Check The Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
B,Assistance To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLMQ,I Dont Know How I Can Check The Cancellation Charges,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Don'T Know What To Do To See The Early Exit Charges,Cancellation_Fee,Check_Cancellation_Fee
B,I Have Got To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BKM,Check Cancellation Fees,Cancellation_Fee,Check_Cancellation_Fee
B,I Have To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BIMP,Will You Show Me The Cancellation Fees?,Cancellation_Fee,Check_Cancellation_Fee
BKL,Show Early Exit Penalty,Cancellation_Fee,Check_Cancellation_Fee
BIL,Where Can I Check The Withdrawal Charge?,Cancellation_Fee,Check_Cancellation_Fee
BLMQZ,I'M Tryying To See The Early Exit Fees,Cancellation_Fee,Check_Cancellation_Fee
BIL,What Do I Need To Do To See The Cancellation Penalty?,Cancellation_Fee,Check_Cancellation_Fee
BLQ,Need Assistance Checking The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
BE,I Do Not Know How I Can Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BLM,Checking Early Termination Penalties,Cancellation_Fee,Check_Cancellation_Fee
BI,Can I Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BL,Help Me To See The Withdrawal Charge,Cancellation_Fee,Check_Cancellation_Fee
BELMZ,I Do Not Know What I Have To Do To See The Cancellatino Fees,Cancellation_Fee,Check_Cancellation_Fee
BIM,What Are The Charges For Breaking The Contract?,Cancellation_Fee,Check_Cancellation_Fee
B,I Don'T Know What I Need To Do To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BCELMQZ,I Cannot Find The Termination Penaltiesi Need Help,Cancellation_Fee,Check_Cancellation_Fee
BLMQZ,I Dont Know How To See The Early Exiut Charges,Cancellation_Fee,Check_Cancellation_Fee
BL,Help Me Seeing The Termination Fee,Cancellation_Fee,Check_Cancellation_Fee
BILMQW,Can Uhelp Me Check The Damn Early Exit Penalties,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Want Assistance To See The Withdrawal Penalties,Cancellation_Fee,Check_Cancellation_Fee
BELMQ,I Do Not Know How I Can See The Early Termination Charges,Cancellation_Fee,Check_Cancellation_Fee
BELM,I Do Not Know How I Can See The Early Termination Fees,Cancellation_Fee,Check_Cancellation_Fee
BCELZ,"I Cannot Find The Withdrawal Charge, I Neerd Assistance",Cancellation_Fee,Check_Cancellation_Fee
B,I Need To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BIP,Would It Be Possible To Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BI,Can You Help Me Checking The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
BLQ,I Want Assistance Seeing The Early Exit Penalty,Cancellation_Fee,Check_Cancellation_Fee
BLM,I Want Help Seeing The Cancellation Penalties,Cancellation_Fee,Check_Cancellation_Fee
BCLMQ,Need To See The Termination Fees Help Me,Cancellation_Fee,Check_Cancellation_Fee
BL,Assistance To See The Cancellation Penalty,Cancellation_Fee,Check_Cancellation_Fee
BLZ,I Need Assistance To See The Termination Penalty,Cancellation_Fee,Check_Cancellation_Fee
BL,See The Termination Fee,Cancellation_Fee,Check_Cancellation_Fee
BELMQZ,I Do Not Know How I Can Se The Withdrawal Fees,Cancellation_Fee,Check_Cancellation_Fee
B,Help Me Checking The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BI,What Do I Have To Do To Check The Cancellation Fee?,Cancellation_Fee,Check_Cancellation_Fee
B,Checking Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
BILQ,Can Ya Help Me Check The Withdrawal Charge,Cancellation_Fee,Check_Cancellation_Fee
B,I Don'T Know What I Have To Do To Check The Cancellation Fee,Cancellation_Fee,Check_Cancellation_Fee
